index,Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
1390,улица Чернышевского,29 корп. 1,2021-06-08 12:25:45.557,Забор на детской площадке,11390,"['забор', 'детский', 'площадка']",Playground
1391,улица Винокурова,89,2021-06-05 16:02:07.350,"Благоустроить площадку за домом, спортивные сооружения сделать, парковочные места",11391,"['благоустраивать', 'площадка', 'дом', 'спортивный', 'сооружение', 'сделать', 'парковочный', 'место']",Need for a road
1392,улица Красина,4,2021-06-06 00:46:58.563,"Обустройство детской площадки по адресу  ул. Красина 2. Доделать дорогу при въезде с К.Иванова на ул. Красина.В ЖК ""Феникс"" построить школу.",11392,"['обустройство', 'детский', 'площадка', 'адрес', 'ул', 'красин', '2', 'доделывать', 'дорога', 'въезд', 'иванов', 'ул', 'красин', 'ЖК', ' ""', 'феникс', '"" ', 'построить', 'школа']",General improvement
1393,улица Эльменя,34,2021-06-04 22:34:29.316,хотим дет.площадку,11393,"['хотеть', 'дет', 'площадка']",Major overhaul
1394,проспект Мира,22,2021-06-04 21:19:43.653,Детская площадка во дворе,11394,"['детский', 'площадка', 'двор']",Playground
1395,улица Советская,14а,2021-06-12 08:40:45.502,"Развить дорожное строительство, улучшить качество дорог, пересмотреть размер оплаты проезда на общественном транспорте в городе, быть внимательным к людям, работать с людьми для людей",11395,"['развивать', 'дорожный', 'строительство', 'улучшать', 'качество', 'дорога', 'пересматривать', 'размер', 'оплата', 'проезд', 'общественный', 'транспорт', 'город', 'внимательный', 'человек', 'работать', 'человек', 'человек']",General improvement
1396,проспект Ленина,42,2021-06-08 15:26:07.292,"Уважаемый Владимер Михайлович просим вас обеспечить ремонтом по пр.Ленина 42 
Мы на вас надеемся , надемся не обманите ",11396,"['уважаемый', 'владимер', 'михайлович', 'просить', 'обеспечивать', 'ремонт', 'пр', 'ленин', '42', ' \n', 'надеяться', ' , ', 'надемся', 'обманывать']",General improvement
1397,улица Ленинского Комсомола,24 корп. 2,2021-06-14 13:18:26.738,"Создать условия на детской площадке (Л. Комсомола, 18, 20, 24/1, 24/2)",11397,"['создавать', 'условие', 'детский', 'площадка', ' (', 'л', 'комсомол', '18', '20', '24', '/', '1', '24', '/', '2']",General improvement
1398,бульвар Эгерский,59,2021-06-11 17:56:27.397,"Увеличение зарплаты. Услуги ЖКХ высокие, пересмотреть. Ежедневно дорожают продукты, урегулировать цены, контроль.",11398,"['увеличение', 'зарплата', 'услуга', 'жкх', 'высокий', 'пересматривать', 'ежедневно', 'дорожать', 'продукт', 'урегулировать', 'цена', 'контроль']",General improvement
1399,улица Хузангая,27,2021-06-12 19:32:31.981,Скамейки за домом для пенсионеров. Негде сидеть.,11399,"['скамейка', 'дом', 'пенсионер', 'негде', 'сидеть']",General improvement
1400,улица Комсомольская,10,2021-06-14 19:11:26.349,"Ремонт дороги, детская площадка",11400,"['ремонт', 'дорога', 'детский', 'площадка']",Need for a road
1401,улица Калинина,106,2021-06-06 21:01:15.618,"Ремонт подъезда
Замена окон",11401,"['ремонт', 'подъезд', 'замена', 'окно']",Major overhaul
1402,переулок Заводской,2,2021-06-04 19:34:07.847,уличное освещение,11402,"['уличный', 'освещение']",General improvement
1403,улица Красина,2,2021-06-05 23:27:24.202,Сделать тротуары по адресу ул. К.Иванова,11403,"['сделать', 'тротуар', 'адрес', 'ул', 'иванов']",General improvement
1404,улица Советская,8,2021-06-07 16:04:51.855,Отремонтировать дорожку к 6 подъезду ,11404,"['отремонтировать', 'дорожка', '6', 'подъезд']",Need for a road
1405,улица Кукшумская,15,2021-06-11 16:58:10.437,Улучшение дорог (ямы). Замена лифта.,11405,"['улучшение', 'дорогой', ' (', 'яма', ')', 'замена', 'лифт']",General improvement
1406,улица Солнечная,5,2021-06-12 20:25:40.802,Ремонт в подъезде,11406,"['ремонт', 'подъезд']",Major overhaul
1407,улица Винокурова,31,2021-06-06 20:59:26.634,"1. Ремонт кровли, протекает по всему крылу 5 этажа.
2. Ремонт этажа",11407,"['1', 'ремонт', 'кровля', 'протекать', 'крыло', '5', 'этаж', '2', 'ремонт', 'этаж']",General improvement
1408,переулок Молодежный,3,2021-06-07 01:51:12.524,"Асфальтированный тротуар от 1-9 дома 
Детская площадка
",11408,"['асфальтировать', 'тротуар', '1', '-', '9', 'дом', ' \n', 'детский', 'площадка']",General improvement
1409,проспект Тракторостроителей,39,2021-06-12 04:52:53.641,Закрытую детскую площадку с велодорожками,11409,"['закрытый', 'детский', 'площадка', 'велодорожка']",Playground
1410,улица Советская,12,2021-06-08 14:39:41.290,Отремонтировать дорогу перед домом,11410,"['отремонтировать', 'дорога', 'дом']",Need for a road
1411,улица Кукшумская,5 корп. 1,2021-06-11 19:56:19.429,Разбить клумбы возле дома.,11411,"['разбивать', 'клумба', 'возле', 'дом']",General improvement
1412,улица Эльгера,30,2021-06-12 14:23:53.611,"Благоустройство территории двора, сделать детскую площадку. ",11412,"['благоустройство', 'территория', 'двор', 'сделать', 'детский', 'площадка']",General improvement
1413,улица Лебедева,19,2021-06-06 00:28:26.594,Отремонтировать дорогу до дворе. ,11413,"['отремонтировать', 'дорога', 'двор']",Need for a road
1414,улица Советская,75,2021-06-05 13:24:05.652,Детская площадка,11414,"['детский', 'площадка']",Playground
1415,улица Космонавта Николаева А.Г.,39,2021-06-14 00:21:56.994,"Сделать тротуар, парковку по адресу ул. Николаева дом 39",11415,"['сделать', 'тротуар', 'парковка', 'адрес', 'ул', 'николаев', 'дом', '39']",General improvement
1416,улица Кукшумская,21 корп. 1,2021-06-11 17:08:51.813,"Обновить детскую площадку, спортивную площадку.",11416,"['обновлять', 'детский', 'площадка', 'спортивный', 'площадка']",Playground
1417,улица Солнечная,9,2021-06-12 19:54:21.094,Благоустройство территории,11417,"['благоустройство', 'территория']",Need for a road
1418,улица Комсомольская,22,2021-06-14 12:16:28.208,Ждем достойную з/п бюджетникам,11418,"['ждать', 'достойный', 'з', '/', 'п', 'бюджетник']",General improvement
1419,улица Ленинского Комсомола,27 корп. 1,2021-06-08 19:33:57.940,Поставить  шлагбаум во дворе,11419,"['поставлять', 'шлагбаум', 'двор']",General improvement
1420,улица Ярмарочная,9 корп. 2,2021-06-07 18:33:26.969,Убрать строительный мусор,11420,"['убирать', 'строительный', 'мусор']",General improvement
1421,улица Юрия Зайцева,9,2021-06-06 23:14:52.188,Навести порядок возле мусорных контейнеров.,11421,"['навещать', 'порядок', 'возле', 'мусорный', 'контейнер']",General improvement
1422,улица Хузангая,38,2021-06-11 17:23:53.877,Замена труб в доме. Покраска и ремонт в секциях,11422,"['замена', 'труба', 'дом', 'покраска', 'ремонт', 'секция']",General improvement
1423,бульвар А.Миттова,14,2021-06-12 04:12:46.236,Благоустройство тротуарного покрытия около дома,11423,"['благоустройство', 'тротуарный', 'покрытие', 'около', 'дом']",Need for a road
1424,улица Хевешская,1 корп. 1,2021-06-08 19:24:35.829,около подьездаустановили бы скомейки ,11424,"['около', 'подьездаустанавливать', 'скомейка']",General improvement
1425,улица Димитрова,20,2021-06-09 01:04:22.170,Благоустройство освещения. Детское футбольное поле,11425,"['благоустройство', 'освещение', 'детский', 'футбольный', 'поле']",General improvement
1426,улица Ардалиона Игнатьева,8/12,2021-06-04 16:08:11.625,Отремонтировать в сторону М. Горького тротуар. Плохо косят траву.,11426,"['отремонтировать', 'сторона', 'м', 'горький', 'тротуар', 'плохо', 'косить', 'трава']",Need for a road
1427,проспект 9-й Пятилетки,2 корп. 3/10,2021-06-12 07:11:07.419,"Обустроить детскую площадку.
ремонт дорог возле дома",11427,"['обустраивать', 'детский', 'площадка', 'ремонт', 'дорогой', 'возле', 'дом']",Need for a road
1428,улица Космонавта Николаева А.Г.,26,2021-06-04 18:19:27.233,Сделать калитку в заборе,11428,"['сделать', 'калитка', 'забор']",Playground
1429,улица Эльменя,34,2021-06-04 22:22:34.582,построить школу в Финской долине,11429,"['построить', 'школа', 'финский', 'долина']",General improvement
1430,улица Гузовского,40,2021-06-05 10:45:16.188,Благоустройство детской площадки по адресу ул. Гузовского 40.,11430,"['благоустройство', 'детский', 'площадка', 'адрес', 'ул', 'гузовский', '40']",General improvement
1431,улица Ломоносова,5,2021-06-07 16:43:22.048,"нет освещения,нет асфальтированной дороги,нет дет.площадки. ",11431,"['освещение', 'асфальтировать', 'дорога', 'дет', 'площадка']",Need for a road
1432,улица П.В.Дементьева,18,2021-06-09 11:14:39.384,ШКОЛУ,11432,['школа'],school
1433,улица Мичмана Павлова,68,2021-06-15 16:43:03.003,"Прибавить пенсию, сделать лекарства подешевле отрегулировать цены на лекарства (усреднить по аптекам). Продукты сделать дешевле и ЖКУ сделать подешевле ",11433,"['прибавлять', 'пенсия', 'сделать', 'лекарство', 'дешево', 'отрегулировать', 'цена', 'лекарство', ' (', 'усреднять', 'аптека', ')', 'продукт', 'сделать', 'дешевый', 'жку', 'сделать', 'дешево']",General improvement
1434,улица Хузангая,27,2021-06-12 20:21:01.691,Обустроить дет. площадку за домом ,11434,"['обустраивать', 'дет', 'площадка', 'дом']",General improvement
1435,улица Ашмарина,105,2021-06-05 18:52:58.930,Отремонтировать тротуар.,11435,"['отремонтировать', 'тротуар']",Need for a road
1436,улица Университетская,29,2021-06-14 17:53:47.096,Просим отремонтировать асфальт и детскую площадку во дворе доа Университетская 29,11436,"['просить', 'отремонтировать', 'асфальт', 'детский', 'площадка', 'двор', 'доа', 'университетский', '29']",General improvement
1437,улица Гражданская,109,2021-06-11 08:49:47.045,Отремонтировать дорогу возле дома,11437,"['отремонтировать', 'дорога', 'возле', 'дом']",Need for a road
1438,улица Чапаева,4,2021-06-08 19:53:08.976,"Дополнит парковки, тренажерный комплекс, ограждение около подьездов.",11438,"['дополнять', 'парковка', 'тренажерный', 'комплекс', 'ограждение', 'около', 'подьезд']",Need for a road
1439,улица Винокурова,101,2021-06-04 22:53:57.405,"Просьба о благоустройстве территории дороги для безопасного передвижения детей к школе №13, к детским садам №43, №38, №40",11439,"['просьба', 'благоустройство', 'территория', 'дорога', 'безопасный', 'передвижение', 'ребенок', 'школа', '№', '13', 'детский', 'сад', '№', '43', '№', '38', '№', '40']",General improvement
1440,бульвар Гидростроителей,10,2021-06-14 15:45:31.919,Повышение пенсий,11440,"['повышение', 'пенсия']",General improvement
1441,улица Светлая,46,2021-06-08 18:34:57.408,Провести интернет,11441,"['проводить', 'интернет']",Major overhaul
1442,улица Эльгера,34,2021-06-12 14:34:06.265,"Благоустройство двора ( парковочные места),  машины разводят грязь! ",11442,"['благоустройство', 'двор', ' ( ', 'парковочный', 'место', '),  ', 'машина', 'разводить', 'грязь', '!']",Need for a road
1443,бульвар Солнечный,14,2021-06-06 09:49:23.453,Сделать переход от микрорайона до остановки школа 53.Построить школу и ФОК. Пустить автобусы и троллейбусы до микрорайона. Облагородить лес.,11443,"['сделать', 'переход', 'микрорайон', 'остановка', 'школа', '53', 'построить', 'школа', 'фок', 'пускать', 'автобус', 'троллейбус', 'микрорайон', 'облагораживать', 'лес']",General improvement
1444,улица Кадыкова,14,2021-06-12 19:22:56.606,Не взымать проценты при оплате ЖКХ. Отремонтировать подходы к подъезду.,11444,"['взымать', 'процент', 'оплата', 'жкх', 'отремонтировать', 'подход', 'подъезд']",Major overhaul
1445,улица Советская,14а,2021-06-12 08:38:28.992,"Дороги по всему городу.
Сделать хорошее освещение, детскую площадку во дворе на ул. Советская 14а, ремонт в подъездах, ликвидируйте наконец бродячих собак в г.Новочебоксарск. Они кусают людей, даже страшно выходить на улицу",11445,"['дорога', 'весь', 'город', 'сделать', 'хороший', 'освещение', 'детский', 'площадка', 'двор', 'ул', 'советский', '14а', 'ремонт', 'подъезд', 'ликвидировать', 'бродячий', 'собака', 'г', 'новочебоксарск', 'кусать', 'человек', 'страшно', 'выходить', 'улица']",General improvement
1446,бульвар Зеленый,3а корп. 1,2021-06-06 10:15:42.222,"Прошу вас, разобраться с кредитными кооперативами, крадут деньги у честных граждан, прикрываясь законами Российского государства. Решение судов не выполняют",11446,"['просить', 'разбираться', 'кредитный', 'кооператив', 'красть', 'деньги', 'честный', 'гражданин', 'прикрываться', 'закон', 'российский', 'государство', 'решение', 'суд', 'выполнять']",General improvement
1447,бульвар Гидростроителей,10,2021-06-14 15:37:10.253,Сделать дорожку во дворе (дети ходят в школу),11447,"['сделать', 'дорожка', 'двор', ' (', 'ребенок', 'ходить', 'школа']",Need for a road
1448,проспект Ленина,51 корп. 1,2021-06-08 14:52:13.216,"снизить процентную ставку по ипотечному кредитованию, снизить кварплату в общежитиях",11448,"['снижать', 'процентный', 'ставка', 'ипотечный', 'кредитование', 'снижать', 'кварплата', 'общежитие']",General improvement
1449,улица Энтузиастов,38 корп. 8,2021-06-07 09:47:39.836,Парковка,11449,['парковка'],Parking
1450,улица Воинов интернационалистов,35,2021-06-04 22:05:27.209,Необходим ремонт капитальный в доме и в подъезде,11450,"['необходимый', 'ремонт', 'капитальный', 'дом', 'подъезд']",Major overhaul
1451,проспект 9-й Пятилетки,30,2021-06-12 08:41:48.068,Рост пенсии и зарплаты бюджетных учреждений,11451,"['рост', 'пенсия', 'зарплата', 'бюджетный', 'учреждение']",General improvement
1452,улица Ленинского Комсомола,25 корп. 2,2021-06-14 16:46:27.657,"Просит ""снизить"" количество машин, ездящих вечером, особенно грузовых. Очень шумно",11452,"['просить', ' ""', 'снижать', '"" ', 'количество', 'машина', 'ездить', 'вечер', 'особенно', 'грузовой', 'очень', 'шумно']",Need for a road
1453,улица Молодежная,5,2021-06-07 20:05:55.208,"Обустроить стоянку дальше от площадки, дорожки пешеходные достроить",11453,"['обустраивать', 'стоянка', 'далеко', 'площадка', 'дорожка', 'пешеходный', 'достраивать']",General improvement
1454,улица Композитора Максимова,9,2021-06-05 22:07:42.511,обновить скамейки,11454,"['обновлять', 'скамейка']",General improvement
1455,проспект Московский,14,2021-06-08 14:10:15.986,"Ремонт дорог возле дома по адресу пр-кт. Московский 14. 
Постоянные пробки на пересечении улиц Гагарина, Ленина, Энгельса.",11455,"['ремонт', 'дорогой', 'возле', 'дом', 'адрес', 'пр-кт', 'московский', '14', ' \n', 'постоянный', 'пробка', 'пересечение', 'улица', 'гагарина', 'ленин', 'энгельс']",General improvement
1456,улица Кукшумская,9,2021-06-11 20:59:13.761,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК корп.2,11456,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк', 'корп', '2']",General improvement
1457,улица Кукшумская,9,2021-06-11 21:05:18.098,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,11457,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']",General improvement
1458,улица Кукшумская,9,2021-06-11 21:16:29.941,прошу асфальтировать тротуар по улице Кукшумской до ботанического сада,11458,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'ботанический', 'сад']",General improvement
1459,улица Энгельса,3 корп. 1,2021-06-09 20:00:57.137,закапайте пожалйста котлован,11459,"['закапать', 'пожалйста', 'котлован']",General improvement
1460,бульвар А.Миттова,5 корп. 2,2021-06-12 06:10:01.010,"Прошу отремонтировать дороги по б-ру Миттова, 5 5к1 5к2
Отсутствие современных детских площадок во дворах, во дворе Миттова 5к2 одни ямы!",11460,"['просить', 'отремонтировать', 'дорога', 'б', '-', 'ру', 'миттов', '5', '5к1', '5к2', 'отсутствие', 'современный', 'детский', 'площадка', 'двор', 'двор', 'миттов', '5к2', 'яма', '!']",Need for a road
1461,улица Советская,37,2021-06-12 09:37:36.784,"Нет капитального ремонта в подъездах. Скамейка около подъезда. Перенести мусорный контейнер. Мусорные контейнеры доставляют неудобства жителям дома (м-н ""Пятерочка""",11461,"['капитальный', 'ремонт', 'подъезд', 'скамейка', 'около', 'подъезд', 'перенести', 'мусорный', 'контейнер', 'мусорный', 'контейнер', 'доставлять', 'неудобство', 'житель', 'дом', ' (', 'м', '-', 'н', ' ""', 'пятерочка']",General improvement
1462,улица Константина Иванова,81,2021-06-07 15:34:34.771,"отремонтировать дорогу к дому от магазина ""Яблочко"" до ""Кирпичного завода""",11462,"['отремонтировать', 'дорога', 'дом', 'магазин', ' ""', 'яблочко', '"" ', ' ""', 'кирпичный', 'завод']",Need for a road
1463,улица Короленко,22,2021-06-05 23:58:38.070,оградить дет площадку,11463,"['ограждать', 'дет', 'площадка']",Playground
1464,проспект Московский,38 корп. 1,2021-06-05 00:03:01.722,Прошу позволить рыбачить в парке 500летия всем желающим.,11464,"['просить', 'позволять', 'рыбачить', 'парк', '500летия', 'весь', 'желающий']",General improvement
1465,улица Строителей,42,2021-06-09 23:53:33.107,"-Недорогая оплата кружков
-по Строителей 72: восстановить хоккейную площадку, во дворе поставить качели, карусели и тренажеры, отремонтировать дорогу с торца дома и во дворе ",11465,"['-', 'недорогой', 'оплата', 'кружок', '-', 'строитель', '72', ': ', 'восстанавливать', 'хоккейный', 'площадка', 'двор', 'поставлять', 'качели', 'карусель', 'тренажер', 'отремонтировать', 'дорога', 'торец', 'дом', 'двор']",Need for a road
1466,улица Гражданская,70,2021-06-12 05:00:48.257,"Хотелось бы детскую современную площадку перед домом.
Парк для прогулки с детьми
Асфальт СОШ 50",11466,"['хотеться', 'детский', 'современный', 'площадка', 'дом', 'парк', 'прогулка', 'ребенок', 'асфальт', 'сош', '50']",General improvement
1468,улица Чернышевского,27,2021-06-07 23:47:51.770,"Нужны от Финской долины до 61 школы нормальный тротуар, нет сбербанка, нет нигде банкоматов",11468,"['нужный', 'финский', 'долина', '61', 'школа', 'нормальный', 'тротуар', 'сбербанк', 'нигде', 'банкомат']",General improvement
1469,улица Чернышевского,27,2021-06-08 09:24:58.278,"Не устраивают пешеходные дороги, отсутствие пандусов, заездов на тротуар для инвалидных колясок. Отсутствует доступная среда для инвалидов.Нет школы, банкоматов, кружков.",11469,"['устраивать', 'пешеходный', 'дорога', 'отсутствие', 'пандус', 'заезд', 'тротуар', 'инвалидный', 'коляска', 'отсутствовать', 'доступный', 'среда', 'инвалид', 'школа', 'банкомат', 'кружок']",General improvement
1470,бульвар Юности,4,2021-06-09 09:18:01.098,Нужна детская площадка,11470,"['нужный', 'детский', 'площадка']",Playground
1471,улица Энгельса,44,2021-06-07 21:13:53.575,требуется ремонт крыши ,11471,"['требоваться', 'ремонт', 'крыша']",General improvement
1473,улица Глинки,20,2021-06-05 19:08:44.631,"Проложить асфальт по улице Глинки, заменить фонари. Благоустроить лес возле аэропорта, устроить места для прогулок с собаками.",11473,"['пролагать', 'асфальт', 'улица', 'глинка', 'заменять', 'фонарь', 'благоустраивать', 'лес', 'возле', 'аэропорт', 'устраивать', 'место', 'прогулка', 'собака']",General improvement
1474,проспект Мира,23Б,2021-06-09 09:36:28.940,контроль цен на товары,11474,"['контроль', 'цена', 'товар']",Need for a road
1475,улица Эльгера,17,2021-06-14 14:33:26.170,"Благоустроить рощу Гузовского и Школьный бульвар, тротуаров и домов. Решение экологических вопросов раздельный сбор мусора, сбор макулатуры",11475,"['благоустраивать', 'роща', 'гузовский', 'школьный', 'бульвар', 'тротуар', 'дом', 'решение', 'экологический', 'вопрос', 'раздельный', 'сбор', 'мусор', 'сбор', 'макулатура']",General improvement
1476,улица Ахазова,11,2021-06-13 13:55:51.241,Хочу чтобы в подъезде № 3 сделали ремонт. Вообще ремонта нет 3 подъезда обязательно ремонт. ,11476,"['хотеть', 'подъезд', '№', '3', 'сделать', 'ремонт', 'вообще', 'ремонт', '3', 'подъезд', 'обязательно', 'ремонт']",Major overhaul
1477,улица Мичмана Павлова,30,2021-06-09 10:40:08.067,Сделать бы побольше паковочных мест. Поддерживаем реконструкцию Школьного бульвара,11477,"['сделать', 'паковочный', 'место', 'поддерживать', 'реконструкция', 'школьный', 'бульвар']",General improvement
1478,улица Мичмана Павлова,30,2021-06-09 10:58:01.480,Нужны дополнительные парковочные места для машин. И конечно нашим детям хорошая детская площадка,11478,"['нужный', 'дополнительный', 'парковочный', 'место', 'машина', 'наш', 'ребенок', 'хороший', 'детский', 'площадка']",General improvement
1479,улица Строителей,44,2021-06-05 20:41:29.559,"Детскую площадку надо поставить, придворовые дороги отремонтировать, расширить парковку, убрать хоккейную коробку, у тополей кроны подстричь, фонарей нет",11479,"['детский', 'площадка', 'поставлять', 'придворовый', 'дорога', 'отремонтировать', 'расширять', 'парковка', 'убирать', 'хоккейный', 'коробка', 'тополь', 'крона', 'подстригать', 'фонарь']",Need for a road
1480,улица Энгельса,42,2021-06-07 21:00:24.361,"ремонт асфальтнобетонного покрытия проезжей части и перед подьездом, ремонт отопления
недовольны ремонтом  в подьезде
",11480,"['ремонт', 'асфальтнобетонный', 'покрытие', 'проезжий', 'часть', 'подьезд', 'ремонт', 'отопление', 'недовольный', 'ремонт', 'подьезда']",Major overhaul
1481,улица Советская,50А,2021-06-12 12:23:41.130,"Доступная среда, пандусов нет в соседних дворах",11481,"['доступный', 'среда', 'пандус', 'соседний', 'двор']",General improvement
1482,улица Ленинского Комсомола,37 корп. 1,2021-06-08 17:18:54.863,Обустроить детскую спортивную площадку во дворе,11482,"['обустраивать', 'детский', 'спортивный', 'площадка', 'двор']",General improvement
1483,улица Прогрессивная,11,2021-06-08 15:06:10.426,"Почта, аптека, магазин",11483,"['почта', 'аптека', 'магазин']",General improvement
1484,проспект Мира,88Б,2021-06-09 13:18:21.139,"Благоустроить детскую площадку по адресу пр .Мира 88б,дорогу от дома 84 до 100.",11484,"['благоустраивать', 'детский', 'площадка', 'адрес', 'пр', 'мир', '88б', 'дорога', 'дом', '84', '100']",General improvement
1485,улица Болгарстроя,9/11,2021-06-10 16:35:15.947,Построить детский парк.Озеленить дворовые территории.,11485,"['построить', 'детский', 'парк', 'озеленять', 'дворовый', 'территория']",Need for a road
1486,улица Кадыкова,17,2021-06-08 20:30:16.602,"Ремонт дороги, мусорки",11486,"['ремонт', 'дорога', 'мусорка']",Need for a road
1487,улица П.В.Дементьева,7 корп. 1,2021-06-09 13:32:18.614,дет.площадку,11487,"['дет', 'площадка']",Playground
1488,проспект Мира,42,2021-06-05 18:58:12.996,Ремонт дома капитальный,11488,"['ремонт', 'дома', 'капитальный']",Major overhaul
1489,улица Новоилларионовская,47,2021-06-04 11:15:36.197,Обеспечить интернетом сельскую местность.,11489,"['обеспечивать', 'интернет', 'сельский', 'местность']",General improvement
1490,улица Солнечная,27,2021-06-12 08:20:10.387,Увеличить парковочные места,11490,"['увеличивать', 'парковочный', 'место']",General improvement
1491,проспект Тракторостроителей,67,2021-06-10 00:24:12.235,Оперативное реагирование на просьбы жителей,11491,"['оперативный', 'реагирование', 'просьба', 'житель']",General improvement
1492,улица Энгельса,1 корп. 3,2021-06-09 19:07:00.196,"дорога вокруг дома и к дому Энгельсаа 1 к 3.
Забор вокруг котлован падал на машине ",11492,"['дорога', 'вокруг', 'дом', 'дом', 'энгельсаа', '1', '3', 'забор', 'вокруг', 'котлован', 'падать', 'машина']",Need for a road
1493,улица Баумана,12,2021-06-10 04:02:34.509,Благоустройство детской площадки во дворе и детская площадка в мкр Лента ,11493,"['благоустройство', 'детский', 'площадка', 'двор', 'детский', 'площадка', 'мкр', 'лента']",Playground
1494,улица Кукшумская,9,2021-06-11 21:18:52.422,прошу асфальтировать тротуар по улице Кукшумской до ботанического сада,11494,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'ботанический', 'сад']",General improvement
1495,улица Шумилова,11,2021-06-11 23:25:30.496,"
Благоустройство дет. площадки и придомовой территории",11495,"['благоустройство', 'дет', 'площадка', 'придомовый', 'территория']",Need for a road
1496,проспект Ленина,52,2021-06-13 16:19:13.042,"в подьезде сделать ремонт. привести божественый вид

поставить скамейки ",11496,"['подьезде', 'сделать', 'ремонт', 'приводить', 'божественый', 'вид', 'поставлять', 'скамейка']",General improvement
1497,улица Эльменя,34,2021-06-04 22:14:15.118,остановка общественного транспорта около Эльменя д.34,11497,"['остановка', 'общественный', 'транспорт', 'около', 'эльмень', 'д', '34']",Need for a road
1498,улица Винокурова,6А,2021-06-14 19:35:30.314,"Обустройство Набережной, пляжа, зоны отдыха в Роще",11498,"['обустройство', 'набережная', 'пляж', 'зона', 'отдых', 'роща']",Need for a road
1499,улица Винокурова,6А,2021-06-14 19:27:49.440,Обустройство Набережной и пляжной зоны на Волге ,11499,"['обустройство', 'набережная', 'пляжный', 'зона', 'волга']",General improvement
1500,улица Николая Гастелло,1/72,2021-06-08 15:38:36.390,Обновление и наличие машин скорой помощи в селах. Наличие мед.персонала и лекарств. Повышение зп медработникам. Поддержание чистоты и порядка в парковых зонах.,11500,"['обновление', 'наличие', 'машина', 'скорый', 'помощь', 'село', 'наличие', 'мед', 'персонал', 'лекарство', 'повышение', 'зп', 'медработник', 'поддержание', 'чистота', 'порядок', 'парковый', 'зона']",General improvement
1501,бульвар Солнечный,18 корп. 1,2021-06-06 08:33:10.951,Сделать пешеходный мост от микрорайона к Тракторостроителей.,11501,"['сделать', 'пешеходный', 'мост', 'микрорайон', 'тракторостроитель']",Need for a road
1502,улица Кадыкова,18 корп. 1,2021-06-05 18:47:38.044,Нужна парковка.,11502,"['нужный', 'парковка']",Parking
1503,проспект Мира,64,2021-06-08 16:57:58.482,"Поменять электропроводку ,расширить детскую площадку.",11503,"['поменять', 'электропроводка', ' ,', 'расширять', 'детский', 'площадка']",General improvement
1504,улица Энгельса,3 корп. 2,2021-06-09 13:16:06.583,"детская площадка во дворе, ямы",11504,"['детский', 'площадка', 'двор', 'яма']",Playground
1505,улица Короленко,2,2021-06-05 22:35:50.214,"благоустройство двор, тротуар",11505,"['благоустройство', 'двор', 'тротуар']",Need for a road
1506,улица Хузангая,27,2021-06-12 20:43:00.640,Подрезать сучки сухие с деревьев перед окнами,11506,"['подрезать', 'сучок', 'сухой', 'дерево', 'окно']",Need for a road
1507,бульвар Эгерский,35,2021-06-12 21:29:19.942,Просьба спилить нижние ветки черемухи за домом 7 подъезд,11507,"['просьба', 'спиливать', 'нижний', 'ветка', 'черемуха', 'дом', '7', 'подъезд']",General improvement
1508,улица Строителей,20,2021-06-04 23:16:59.736,"Безобразно отремонтировали двор, бордюры не заменили, машины ставят на пешеходную зону, и очень скользко",11508,"['безобразно', 'отремонтировать', 'двор', 'бордюр', 'заменять', 'машина', 'ставить', 'пешеходный', 'зона', 'очень', 'скользко']",Major overhaul
1509,улица Гражданская,109,2021-06-11 11:55:19.288,Отремонтировать тротуар,11509,"['отремонтировать', 'тротуар']",Need for a road
1510,улица Шубоссинни,8,2021-06-05 18:58:05.099,Обустроить дороги по улице Шубоссини.,11510,"['обустраивать', 'дорога', 'улица', 'шубоссинить']",General improvement
1511,улица Заводская,10,2021-06-08 07:02:30.247,"К 3 саду благоустроить дорогу, поставить скамейки",11511,"['3', 'сад', 'благоустраивать', 'дорога', 'поставлять', 'скамейка']",General improvement
1512,улица Чернышевского,5,2021-06-11 12:50:03.086,"Детскую площадку по адресу: Чернышевского, 5 где хозблоки.
Детям негде играть!",11512,"['детский', 'площадка', 'адрес', ': ', 'чернышевский', '5', 'хозблок', 'ребенок', 'негде', 'играть', '!']",General improvement
1513,проспект 9-й Пятилетки,2 корп. 2,2021-06-12 07:20:15.739,"Фасад
Ступеньки
Тротуар",11513,"['фасад', 'ступенька', 'тротуар']",General improvement
1514,улица Университетская,8,2021-06-12 22:20:53.302,Отремонтировать детскую площадку,11514,"['отремонтировать', 'детский', 'площадка']",Need for a road
1515,улица Лукина,3,2021-06-15 15:01:51.134,"Школе очень нужна . Дороги очень плохие, дет. площадки плохие",11515,"['школа', 'очень', 'нужный', 'дорога', 'очень', 'плохой', 'дет', 'площадка', 'плохой']",Need for a road
