Адрес обращения,Дом,Дата,текст обращения,ids,listTextAppealLem,named_labels
проспект Тракторостроителей,63/21,2021-06-10 00:36:58.254,Создание парка для прогулок с детьми,12213,"['создание', 'парк', 'прогулка', 'ребенок']",Общее благоустройство
улица Энтузиастов,34,2021-06-07 12:43:05.220,"Торговый центр, кинотеатр, парк отдыха, фонтаны с подсветкой, места для активного отдыха как зимой, так и летом",12214,"['торговый', 'центр', 'кинотеатр', 'парк', 'отдых', 'фонтан', 'подсветка', 'место', 'активный', 'отдых', 'зима', 'лето']",Общее благоустройство
проспект Ленина,58 корп. 14,2021-06-13 18:56:04.193,"плохие плохие 

мало парковычные мест ",12215,"['плохой', 'плохой', ' \n', 'мало', 'парковычный', 'место']",Необходимость дороги/тротуара
улица Эльгера,30,2021-06-12 14:31:22.460,Построить детскую площадку. ,12216,"['построить', 'детский', 'площадка']",Детская площадка
улица Чернышевского,26,2021-06-07 20:25:18.945,"Отремонтировать тротуар и проезжую часть дороги по ул.Чернышевского, д.26
Дорога не ремонтируется уже много лет",12217,"['отремонтировать', 'тротуар', 'проезжий', 'часть', 'дорога', 'ул', 'чернышевский', 'д', '26', 'дорога', 'ремонтироваться', 'год']",Необходимость дороги/тротуара
улица Пролетарская,5,2021-06-07 21:47:34.772,"Оборудовать детскую площадку, озеленить участок",12218,"['оборудовать', 'детский', 'площадка', 'озеленять', 'участок']",Общее благоустройство
улица Пролетарская,5,2021-06-05 22:29:31.740,Оборудовать детскую площадку. Озеленить участок.,12219,"['оборудовать', 'детский', 'площадка', 'озеленять', 'участок']",Общее благоустройство
улица 10 Пятилетки,47,2021-06-04 22:39:09.625,"Благоустроить двор детской площадкой, скамейками и тренажерами. Ремонт подъезда. Очистка канализации 5-го подъезда. Датчика света",12220,"['благоустраивать', 'двор', 'детский', 'площадка', 'скамейка', 'тренажер', 'ремонт', 'подъезд', 'очистка', 'канализация', '5', '-', 'го', 'подъезд', 'датчик', 'свет']",Детская площадка
улица Мичмана Павлова,76,2021-06-08 19:55:34.249,"Сделать нормальную, современную детскую площадку.",12221,"['сделать', 'нормальный', 'современный', 'детский', 'площадка']",Общее благоустройство
улица Строителей,42,2021-06-09 23:46:35.387,Пожалуйста сделайте ремонт в подъезде,12222,"['пожалуйста', 'сделать', 'ремонт', 'подъезд']",Капитальный ремонт в доме
улица Ленинского Комсомола,23 корп. 3,2021-06-08 19:43:57.613,"Парковку и нормальную развязку сделать между домами №23-к.2,3",12223,"['парковка', 'нормальный', 'развязка', 'сделать', 'дом', '№', '23', '-', '2', '3']",Общее благоустройство
проспект Мира,37,2021-06-08 21:24:08.746,"поменять транспортную  логистику , расположение остановку и маршрут общественного транспортра ",12224,"['поменять', 'транспортный', 'логистика', ' , ', 'расположение', 'остановка', 'маршрут', 'общественный', 'транспортра']",Общее благоустройство
бульвар Зеленый,3а корп. 1,2021-06-06 10:22:12.807,Детскую площадку,12225,"['детский', 'площадка']",Детская площадка
улица Эльменя,34,2021-06-04 22:11:20.118,построить школу в Финской долине,12226,"['построить', 'школа', 'финский', 'долина']",Общее благоустройство
улица Афанасьева,1,2021-06-05 13:10:32.723,Все утраивает,12227,['утраивать'],Общее благоустройство
улица П.В.Дементьева,15 корп. 2,2021-06-09 15:26:55.288,"больше скверов, спорт и детских площадок, облагородить Садовый, парки хотим,",12228,"['сквер', 'спорт', 'детский', 'площадка', 'облагораживать', 'садовый', 'парк', 'хотеть']",Общее благоустройство
улица Энгельса,3,2021-06-09 12:06:14.699,"очень хотим парковку вместо огромной ямы у 4 гимназии ( для родителе) Иза ее отсуствие и узкой дороги постоянно аварии , не можем выехать со двора",12229,"['очень', 'хотеть', 'парковка', 'вместо', 'огромный', 'яма', '4', 'гимназия', ' ( ', 'родитель', ') ', 'иза', 'отсуствие', 'узкий', 'дорога', 'постоянно', 'авария', ' , ', 'мочь', 'выезжать', 'двор']",Необходимость дороги/тротуара
улица Восточная,14А,2021-06-07 17:04:07.044,Нужна современная детская площадка и коробка для хоккея,12230,"['нужный', 'современный', 'детский', 'площадка', 'коробка', 'хоккей']",Детская площадка
улица Чапаева,4,2021-06-08 19:57:18.478,Установить тренажерный комплекс.,12231,"['устанавливать', 'тренажерный', 'комплекс']",Общее благоустройство
улица Солнечная,20,2021-06-12 07:55:47.096,Детская площадка,12232,"['детский', 'площадка']",Детская площадка
проезд Соляное,14,2021-06-08 15:14:07.024,"Почта, магазин",12233,"['почта', 'магазин']",Общее благоустройство
улица Ахазова,3,2021-06-09 12:26:59.485,"Благоустроить детскую площадку между домами по улице Ахазова № 1 и №3. Заменить детские горки, качели.  ",12234,"['благоустраивать', 'детский', 'площадка', 'дом', 'улица', 'ахазов', '№', '1', '№', '3', 'заменять', 'детский', 'горка', 'качели']",Общее благоустройство
улица Ахазова,3,2021-06-17 12:28:00.350,Контроль и профилактика коррупционных преступлений,12235,"['контроль', 'профилактика', 'коррупционный', 'преступление']",Общее благоустройство
улица Гражданская,60 корп. 1,2021-06-05 21:14:19.779,"ремонт скамеек, благоустроить дет.площадки",12236,"['ремонт', 'скамейка', 'благоустраивать', 'дет', 'площадка']",Детская площадка
улица Петрова,11,2021-06-08 15:01:14.618,"обрезка снитарная с двух сторон дома. топользакрывает полностью освещение во всех 4-х этажей.
замена водостоных труб , ремонт цоколя
",12237,"['обрезка', 'снитарный', 'сторона', 'дома', 'топользакрывать', 'полностью', 'освещение', 'весь', '4', '-', 'х', 'этаж', 'замена', 'водостоной', 'труба', ' , ', 'ремонт', 'цоколь']",Необходимость дороги/тротуара
улица Болгарстроя,1 корп. 1,2021-06-05 20:32:26.968,"Ремонт школы номер 63,пристроить спортзал к школе.",12238,"['ремонт', 'школа', 'номер', '63', 'пристраивать', 'спортзал', 'школа']",Общее благоустройство
проспект Тракторостроителей,52 корп. 1,2021-06-06 16:51:05.477,"Установить видеокамеру,шлагбаум.",12239,"['устанавливать', 'видеокамера', 'шлагбаум']",Общее благоустройство
улица П.В.Дементьева,3 корп. 2,2021-06-08 22:09:51.416,"дет площадки, парк, школа",12240,"['дет', 'площадка', 'парк', 'школа']",Детская площадка
улица Учительская,15,2021-06-04 20:30:16.404,Детская площадка во дворе,12241,"['детский', 'площадка', 'двор']",Детская площадка
улица Николая Гастелло,13,2021-06-08 17:53:35.392,Капитальный ремонт в подъезде с заменой окон,12242,"['капитальный', 'ремонт', 'подъезд', 'замена', 'окно']",Капитальный ремонт в доме
улица Ардалиона Игнатьева,8/12,2021-06-07 19:04:40.796,"Благоустроить парк Гузовского, сделать качественные велодорожки",12243,"['благоустраивать', 'парк', 'гузовский', 'сделать', 'качественный', 'велодорожка']",Общее благоустройство
улица Коммунистическая,22,2021-06-07 19:06:58.781,"Везде валяется мусор.
Перед магазином ""Поларис"" починить дорогу",12244,"['везде', 'валяться', 'мусор', 'магазин', ' ""', 'полариса', '"" ', 'починять', 'дорога']",Общее благоустройство
улица Космонавта Николаева А.Г.,32,2021-06-14 00:07:54.265,"1. Повышение зарплат
2. Ремонт общежития
3. Парковочные места",12245,"['1', 'повышение', 'зарплата', '2', 'ремонт', 'общежитие', '3', 'парковочный', 'место']",Общее благоустройство
проспект Мира,23,2021-06-08 23:55:28.351,ремонт дорог,12246,"['ремонт', 'дорогой']",Ремонт дороги
улица И.П.Прокопьева,16,2021-06-09 00:03:27.825,Отделение Сбербанка,12247,"['отделение', 'сбербанк']",Капитальный ремонт в доме
улица Космонавта Николаева А.Г.,22,2021-06-06 20:06:33.381,Ремонт тротуара,12248,"['ремонт', 'тротуар']",Капитальный ремонт в доме
улица Винокурова,57,2021-06-08 21:43:23.399,"1. Падает спортивный тренажер.
2. Сделать настил на детской площадке.
3. Освещение на детской площадке.",12249,"['1', 'падать', 'спортивный', 'тренажер', '2', 'сделать', 'настил', 'детский', 'площадка', '3', 'освещение', 'детский', 'площадка']",Детская площадка
улица Гузовского,21,2021-06-15 15:19:38.310,"Просим вас обратить внимание на детей войны. У нас было голодное и холодное детство. Дайте нам достойную старость. Выделить нам  доплату  всем детям войны одинаковую. Нас осталось не так много. Собакам выделили 8 мил. рублей, а на детей войны у них денег не хватает. А нам хочется пожить и вкусно покушать. Пенсия у нас небольшая, а выплаты за все уносят у нас половины пенсии. Перед выборами депутаты нам обещают многое, а потом забывают, надеемся на вас, вы поставите вопрос о Детях войны",12250,"['просить', 'обращать', 'внимание', 'ребенок', 'война', 'голодный', 'холодный', 'детство', 'давать', 'достойный', 'старость', 'выделять', 'доплата', 'весь', 'ребенок', 'война', 'одинаковый', 'оставаться', 'собака', 'выделять', '8', 'милый', 'рубль', 'ребенок', 'война', 'деньги', 'хватать', 'хотеться', 'пожить', 'вкусно', 'покушать', 'пенсия', 'небольшой', 'выплата', 'весь', 'уносить', 'половина', 'пенсия', 'выборы', 'депутат', 'обещать', 'многое', 'забывать', 'надеяться', 'поставлять', 'вопрос', 'ребенок', 'война']",Общее благоустройство
улица Эльгера,28,2021-06-08 22:24:26.654,Устроить детскую игровую площадку во дворе дома,12251,"['устраивать', 'детский', 'игровой', 'площадка', 'двор', 'дом']",Общее благоустройство
улица Ж.Крутовой,6,2021-06-08 17:02:22.086,"Огородить участки с цветами, тротуар около подъезда, бордюры, окна в подъезде.",12252,"['огораживать', 'участок', 'цветок', 'тротуар', 'около', 'подъезд', 'бордюр', 'окно', 'подъезд']",Необходимость дороги/тротуара
улица Космонавта Николаева А.Г.,42,2021-06-07 13:28:29.245,Капитальный ремонт дома,12253,"['капитальный', 'ремонт', 'дом']",Капитальный ремонт в доме
улица Богдана Хмельницкого,10 корп. 1,2021-06-17 13:44:39.714,Отремонтировать тротуар. Построить магазины. Снести сараи и гаражи.,12254,"['отремонтировать', 'тротуар', 'построить', 'магазин', 'снести', 'сарай', 'гараж']",Необходимость дороги/тротуара
проспект Тракторостроителей,28,2021-06-05 20:59:14.397,Сделать косметический ремонт в доме.,12255,"['сделать', 'косметический', 'ремонт', 'дом']",Общее благоустройство
улица Северная,8,2021-06-11 01:44:33.507,Сделать подъезд по улице Промышленная до ул.Северная и по ул.Северная тоже сделать дорогу,12256,"['сделать', 'подъезд', 'улица', 'промышленный', 'ул', 'северный', 'ул', 'северный', 'сделать', 'дорога']",Капитальный ремонт в доме
улица Ленинского Комсомола,16,2021-06-08 16:39:41.641,Отремонтировать дорогу (проезд) от дома 16 к дому 24 по ул. Ленинского Комсомола (большая яма).,12257,"['отремонтировать', 'дорога', ' (', 'проезд', ') ', 'дом', '16', 'дом', '24', 'ул', 'ленинский', 'комсомол', ' (', 'большой', 'яма', ')']",Необходимость дороги/тротуара
улица Хузангая,27,2021-06-12 20:38:50.136,Установка видеокамер в 7 подъезд,12258,"['установка', 'видеокамера', '7', 'подъезд']",Общее благоустройство
бульвар А.Миттова,11,2021-06-11 13:57:02.626,"Сбербанк
Ремонт детской площадки
Почтовое отделение",12259,"['сбербанк', 'ремонт', 'детский', 'площадка', 'почтовый', 'отделение']",Общее благоустройство
проспект Московский,46,2021-06-04 15:06:39.639,Привезти песок в песочницу по адресу пр-кт. Московский дом 46. Ограничить выгул собак на детской площадке возле д/с № 85.,12260,"['привозить', 'песок', 'песочница', 'адрес', 'пр-кт', 'московский', 'дом', '46', 'ограничивать', 'выгул', 'собака', 'детский', 'площадка', 'возле', 'д', '/', '№', '85']",Общее благоустройство
улица Радужная,4,2021-06-07 15:01:33.874,Открыть школу,12261,"['открывать', 'школа']",Парковка/школа
улица Коллективная,7,2021-06-09 01:42:11.541,Благоустроить газон около дома,12262,"['благоустраивать', 'газон', 'около', 'дом']",Необходимость дороги/тротуара
улица Парковая,37,2021-06-14 20:43:55.628,"Благоустроить стадион 4 школы(баскетбольную площадку улучшить, футбольное поле, тренажеры обновить), сделать ремонт 37 дома, отремонтировать асфальт на стадионе ",12263,"['благоустраивать', 'стадион', '4', 'школа', '(', 'баскетбольный', 'площадка', 'улучшать', 'футбольный', 'поле', 'тренажер', 'обновлять', '), ', 'сделать', 'ремонт', '37', 'дом', 'отремонтировать', 'асфальт', 'стадион']",Общее благоустройство
проспект Тракторостроителей,28,2021-06-05 21:01:37.778,Сделать ремонт в подъезде. Ремонт лестницы к тротуару.,12264,"['сделать', 'ремонт', 'подъезд', 'ремонт', 'лестница', 'тротуар']",Капитальный ремонт в доме
проспект Тракторостроителей,39,2021-06-12 05:47:31.366,"Заварить мусоропровод, сделать детскую площадку, решить вопрос с отоплением",12265,"['заваривать', 'мусоропровод', 'сделать', 'детский', 'площадка', 'решать', 'вопрос', 'отопление']",Необходимость дороги/тротуара
улица Короленко,6,2021-06-05 22:59:09.815,видеокамеру установить ,12266,"['видеокамера', 'устанавливать']",Общее благоустройство
улица Короленко,6,2021-06-05 23:02:17.449,Видеокамеру установить,12267,"['видеокамера', 'устанавливать']",Общее благоустройство
улица Молодежная,17,2021-06-07 19:09:54.443,Нужна площадка детская на Винокурова,12268,"['нужный', 'площадка', 'детский', 'винокуров']",Общее благоустройство
улица Гагарина Ю.,51,2021-06-07 02:25:51.168,"Детская площадка
Парковка
Асфальтированный тротуар",12269,"['детский', 'площадка', 'парковка', 'асфальтировать', 'тротуар']",Общее благоустройство
улица Ярмарочная,5,2021-06-14 16:32:08.127,Делать больше тракторов,12270,"['делать', 'трактор']",Общее благоустройство
улица Молодежная,7,2021-06-07 18:00:21.940,"Убрать собак бездомных, собрать в приют. Закрыть кафе по ул.Терешкова, 6а",12271,"['убирать', 'собака', 'бездомный', 'собирать', 'приют', 'закрывать', 'кафе', 'ул', 'терешкова', '6а']",Общее благоустройство
улица Хевешская,15 корп. 1,2021-06-13 19:45:22.844,ремонт в коридоре,12272,"['ремонт', 'коридор']",Ремонт дороги
улица П.В.Дементьева,15 корп. 1,2021-06-09 14:53:08.648,"благоустройство Садового, 
школу скорее,
ТРЦ,
Спорт площадка, Транспорт в ЮЗР",12273,"['благоустройство', 'садовый', ', \n', 'школа', 'скоро', ',\n', 'трц', ',\n', 'спорт', 'площадка', 'транспорт', 'юзра']",Необходимость дороги/тротуара
улица Космонавта Николаева А.Г.,35,2021-06-05 10:38:34.164,"Замена почтовых ящиков
Канализация",12274,"['замена', 'почтовый', 'ящик', 'канализация']",Общее благоустройство
бульвар Зеленый,2А,2021-06-06 11:41:10.062,Облагородить детскую площадку,12275,"['облагораживать', 'детский', 'площадка']",Общее благоустройство
улица Декабристов,37,2021-06-05 19:28:59.009,Детский парк,12276,"['детский', 'парк']",Детская площадка
улица Эльменя,34,2021-06-04 22:42:42.679,шлагбаум установит во дворе,12277,"['шлагбаум', 'устанавливать', 'двор']",Общее благоустройство
улица Водопроводная,20,2021-06-08 13:10:49.757,"Сделать автостоянку возле дома по адресу ул. Водопроводная 20.
Построить школу.",12278,"['сделать', 'автостоянка', 'возле', 'дом', 'адрес', 'ул', 'водопроводный', '20', 'построить', 'школа']",Необходимость дороги/тротуара
бульвар А.Миттова,18 корп. 1,2021-06-12 03:39:29.405,Благоустройство стадиона школы 64,12279,"['благоустройство', 'стадион', 'школа', '64']",Общее благоустройство
улица 10 Пятилетки,46,2021-06-09 23:24:07.458,Благоустройство ул 10 пят-ки,12280,"['благоустройство', 'ул', '10', 'пята', '-', 'ки']",Общее благоустройство
улица Красный флот,16,2021-06-11 01:26:39.545,"Контейнеров мусорных не хватает, дачники несут мусор",12281,"['контейнер', 'мусорный', 'хватать', 'дачник', 'нести', 'мусор']",Общее благоустройство
улица Ленинского Комсомола,80,2021-06-09 23:27:42.487,Просьба сделать пешеходную дорожку,12282,"['просьба', 'сделать', 'пешеходный', 'дорожка']",Общее благоустройство
улица Космонавта Николаева А.Г.,35,2021-06-05 10:47:26.577,Освещение улиц,12283,"['освещение', 'улица']",Общее благоустройство
улица Богдана Хмельницкого,49,2021-06-07 21:20:33.941,"дет.площадка, шлагбаум во дворе дома, землю во двор",12284,"['дет', 'площадка', 'шлагбаум', 'двор', 'дом', 'земля', 'двор']",Общее благоустройство
проспект Мира,92,2021-06-09 11:54:18.962,"Площадки, стоянки, скамейки, озеленение.",12285,"['площадка', 'стоянка', 'скамейка', 'озеленение']",Детская площадка
улица Винокурова,4,2021-06-14 18:15:30.270,"Ремонт в подъезде, пункт передержки для животных, ремонт асфальта во дворе",12286,"['ремонт', 'подъезд', 'пункт', 'передержка', 'животное', 'ремонт', 'асфальт', 'двор']",Капитальный ремонт в доме
улица Ашмарина,34А,2021-06-05 21:57:47.781,Отремонтировать тротуар.Открыть баню.,12287,"['отремонтировать', 'тротуар', 'открывать', 'баня']",Необходимость дороги/тротуара
улица Хевешская,7,2021-06-08 18:34:58.635,детская площадка бедная,12288,"['детский', 'площадка', 'бедный']",Детская площадка
проспект Тракторостроителей,67,2021-06-10 00:22:54.189,Бесплатное медицинское обслуживание ,12289,"['бесплатный', 'медицинский', 'обслуживание']",Общее благоустройство
улица Алексея Талвира,4,2021-06-05 23:52:56.916,"Требуется установить новую детскую площадку во дворах домов № 4, 6,8,10 по улице Талвира.",12290,"['требоваться', 'устанавливать', 'новый', 'детский', 'площадка', 'двор', 'дом', '№', '4', '6', '8', '10', 'улица', 'талвира']",Общее благоустройство
улица Солнечная,62,2021-06-05 21:32:10.379,"Дороги, площадки. И вообще много недочетов",12291,"['дорога', 'площадка', 'вообще', 'недочет']",Необходимость дороги/тротуара
проспект Мира,21А,2021-06-09 11:12:04.923,"дороги перед петерочкой починить 
окружить пешеходную зону
( машины прям ездят по пшиходу проити не дают) дорога разбита больше грузами ",12292,"['дорога', 'петерочка', 'починять', ' \n', 'окружать', 'пешеходный', 'зона', '( ', 'машина', 'прямой', 'ездить', 'пшиход', 'проити', 'давать', ') ', 'дорога', 'разбивать', 'груз']",Общее благоустройство
улица Молодежная,17,2021-06-07 19:11:03.368,Фонтан на пионерской нужно отремонтировать,12293,"['фонтан', 'пионерский', 'нужно', 'отремонтировать']",Необходимость дороги/тротуара
улица Кукшумская,9,2021-06-11 21:06:31.170,прошу асфальтировать тротуар по улице Кукшумской до ЧЭМК,12294,"['просить', 'асфальтировать', 'тротуар', 'улица', 'кукшумский', 'чэмк']",Общее благоустройство
улица Академика В.Н.Челомея,1,2021-06-08 22:57:33.398,спорт площадка,12295,"['спорт', 'площадка']",Детская площадка
улица Космонавта Николаева А.Г.,26,2021-06-04 18:31:02.151,Детская площадка во дворе,12296,"['детский', 'площадка', 'двор']",Детская площадка
улица П.В.Дементьева,18 корп. 2,2021-06-08 10:18:33.315,"построить школу,  парк, ТЦ",12297,"['построить', 'школа', ',  ', 'парк', 'тц']",Необходимость дороги/тротуара
проспект Мира,21А,2021-06-09 09:58:17.494,обновить детскую площадку. сделать дорыу,12298,"['обновлять', 'детский', 'площадка', 'сделать', 'дорыу']",Детская площадка
улица Короленко,14,2021-06-06 00:34:45.061,"благоустроить близлежащую территорию
дет.поликлинику
парковочные места",12299,"['благоустраивать', 'близлежащий', 'территория', 'дет', 'поликлиника', 'парковочный', 'место']",Общее благоустройство
улица Байдула,5,2021-06-07 20:53:06.308,"Благоустроить пешеходный тротуар, озеленение(посадка деревьев),проводить своевременный ямочный ремонт.",12300,"['благоустраивать', 'пешеходный', 'тротуар', 'озеленение', '(', 'посадка', 'дерево', '),', 'проводить', 'своевременный', 'ямочный', 'ремонт']",Общее благоустройство
проспект Ленина,25,2021-06-07 18:57:50.316,"Благоустроить двор, площадку для детей.",12301,"['благоустраивать', 'двор', 'площадка', 'ребенок']",Общее благоустройство
улица Афанасьева,14,2021-06-06 00:11:20.220,МРТ в Республиканской больнице нет реанимационного оборудования.,12302,"['МРТ', 'республиканский', 'больница', 'реанимационный', 'оборудование']",Общее благоустройство
бульвар Зеленый,4,2021-06-05 22:23:18.385,Отремонтировать или поставить скамейки для отдыха,12303,"['отремонтировать', 'поставлять', 'скамейка', 'отдых']",Необходимость дороги/тротуара
проспект Тракторостроителей,35/19,2021-06-12 08:18:29.013,Обновить детскую площадку,12304,"['обновлять', 'детский', 'площадка']",Детская площадка
улица Лукина,3,2021-06-17 12:35:41.902,"Бассейн быстрее достроить
Школу построить",12305,"['бассейн', 'быстро', 'достраивать', 'школа', 'построить']",Общее благоустройство
улица Строителей,23 корп. 1,2021-06-05 11:23:15.646,"Все устраивает, но беспокоит пустырь во дворе",12306,"['устраивать', 'беспокоить', 'пустырь', 'двор']",Общее благоустройство
улица Терешковой,8,2021-06-09 23:20:30.146,Ветки бьют по стеклам.1 подъезд - кронировать деревья. Не проводят уборку в подъезде. Доделать детскую площадку. ,12307,"['ветка', 'бить', 'стекло', '1', 'подъезд', ' - ', 'кронировать', 'дерево', 'проводить', 'уборка', 'подъезд', 'доделывать', 'детский', 'площадка']",Необходимость дороги/тротуара
улица Хузангая,38,2021-06-11 16:52:43.723,"Ремонт в подъезде, облагородить участок перед домом.",12308,"['ремонт', 'подъезд', 'облагораживать', 'участок', 'дом']",Необходимость дороги/тротуара
улица Богдана Хмельницкого,96 корп. 2,2021-06-09 12:53:42.080,благоустройство на Богданке,12309,"['благоустройство', 'богданка']",Общее благоустройство
улица Яноушека,3,2021-06-05 21:26:32.951,улучшить состояние двора,12310,"['улучшать', 'состояние', 'двор']",Общее благоустройство
улица Эльгера,6,2021-06-05 14:22:44.891,"Около нашего дома очень плохое освещение, опасность для детей. Парковочных мест почти нет. ",12311,"['около', 'наш', 'дом', 'очень', 'плохой', 'освещение', 'опасность', 'ребенок', 'парковочный', 'место']",Необходимость дороги/тротуара
улица Эльгера,6,2021-06-08 19:58:47.343,Хотим реконструкцию школьного бульвара,12312,"['хотеть', 'реконструкция', 'школьный', 'бульвар']",Общее благоустройство
проезд Энергетиков,3,2021-06-14 15:49:11.605,"Тротуарные дорожки между домами 1 и 3 по проезду Энергетиков, поменять и сделать полноценное освещение во дворе в хоккейной коробке",12313,"['тротуарный', 'дорожка', 'дом', '1', '3', 'проезд', 'энергетик', 'поменять', 'сделать', 'полноценный', 'освещение', 'двор', 'хоккейный', 'коробка']",Капитальный ремонт в доме
улица Энгельса,36/9,2021-06-12 18:13:15.014,"Просим помочь в облагораживании двора, ограда, детская площадка.",12314,"['просить', 'помогать', 'облагораживание', 'двор', 'ограда', 'детский', 'площадка']",Необходимость дороги/тротуара
улица Ж.Крутовой,12,2021-06-08 15:45:19.032,Тротуары заасфальтировать,12315,"['тротуар', 'заасфальтировать']",Общее благоустройство
улица Космонавта Николаева А.Г.,26,2021-06-04 18:56:42.278,Ремонт дорог,12316,"['ремонт', 'дорогой']",Ремонт дороги
проспект Мира,88Б,2021-06-09 12:28:36.660,Благоустроить подземный переход,12317,"['благоустраивать', 'подземный', 'переход']",Общее благоустройство
бульвар Солнечный,14,2021-06-06 09:52:53.926,Открыть поликлинику для взрослых.,12318,"['открывать', 'поликлиника', 'взрослый']",Общее благоустройство
улица Строителей,7,2021-06-05 16:31:54.863,В городе построить приют для бездомных животных,12319,"['город', 'построить', 'приют', 'бездомный', 'животное']",Необходимость дороги/тротуара
улица Строителей,7,2021-06-05 16:33:00.697,Повысить базовую ставку бюджетникам,12320,"['повышать', 'базовый', 'ставка', 'бюджетник']",Общее благоустройство
улица Советская,65,2021-06-08 21:28:29.116,Ремонт скамеек,12321,"['ремонт', 'скамейка']",Детская площадка
проспект Московский,38 корп. 2,2021-06-04 22:51:12.235,Благоустроить набережную от речного порта до Нового города.,12322,"['благоустраивать', 'набережная', 'речной', 'порт', 'новый', 'город']",Общее благоустройство
бульвар Юности,3,2021-06-09 13:02:40.870,"Центр передержки животных, на время уезда.",12323,"['центр', 'передержка', 'животное', 'время', 'уезд']",Капитальный ремонт в доме
улица Академика В.Н.Челомея,1,2021-06-08 22:48:46.647,"школа, магазин, аптека, дет.площадка",12324,"['школа', 'магазин', 'аптека', 'дет', 'площадка']",Детская площадка
улица Санаторная,1,2021-06-06 01:36:37.145,Необходим мини-рынок в Сосновке.,12325,"['необходимый', 'мини', '-', 'рынок', 'сосновка']",Необходимость дороги/тротуара
улица О.Беспалова,1,2021-06-09 03:15:34.967,"Пластиковые окна, косметический ремонт в подъезде. Обновить почтовые ящики. ",12326,"['пластиковый', 'окно', 'косметический', 'ремонт', 'подъезд', 'обновлять', 'почтовый', 'ящик']",Необходимость дороги/тротуара
улица Строителей,5,2021-06-09 22:41:25.275,"больше спортивных площадок
парк нужен  вместо ярмарки",12327,"['спортивный', 'площадка', 'парк', 'нужный', 'вместо', 'ярмарка']",Общее благоустройство
улица Строителей,5,2021-06-09 22:42:58.546,закройте дорогу на рынке через дворы,12328,"['закрывать', 'дорога', 'рынок', 'двор']",Необходимость дороги/тротуара
улица Коллективная,7,2021-06-09 01:43:30.122,Отремонтировать дорогу возле дома и заезд к дому,12329,"['отремонтировать', 'дорога', 'возле', 'дом', 'заезд', 'дом']",Ремонт дороги
улица Энтузиастов,38 корп. 8,2021-06-07 09:39:11.529,Поставьте пожалуйста во дворе дома по ул.Энтузиастов 38/8 хорошую детскую площадку с качелями!!! Нигде поблизости нет качелей для детей!!!,12330,"['поставлять', 'пожалуйста', 'двор', 'дом', 'ул', 'энтузиаст', '38', '/', '8', 'хороший', 'детский', 'площадка', 'качели', '!!! ', 'нигде', 'поблизости', 'качели', 'ребенок', '!!!']",Общее благоустройство
улица Терешковой,17,2021-06-12 09:12:48.138,"Просим установить тренажеры, поставить новую площадку, отремонтировать дорогу возле дома ул. Терешковой д.17",12331,"['просить', 'устанавливать', 'тренажер', 'поставлять', 'новый', 'площадка', 'отремонтировать', 'дорога', 'возле', 'дом', 'ул', 'терешкова', 'д', '17']",Необходимость дороги/тротуара
улица Первомайская,27,2021-06-08 21:21:03.465,Ремонт дороги к детскому саду №7,12332,"['ремонт', 'дорога', 'детский', 'сад', '№', '7']",Необходимость дороги/тротуара
улица Богдана Хмельницкого,96 корп. 2,2021-06-09 12:51:09.817,"школа
спорт площадку",12333,"['школа', 'спорт', 'площадка']",Детская площадка
улица Гражданская,72,2021-06-12 05:21:22.850,"Просим обустроить парк отдыха в ЮЗР
Отремонтировать детскую площадку",12334,"['просить', 'обустраивать', 'парк', 'отдых', 'юзра', 'отремонтировать', 'детский', 'площадка']",Необходимость дороги/тротуара
улица Гражданская,72,2021-06-12 04:48:37.625,Прошу обустроить пешеходные дорожки и отремонтировать детскую площадку,12335,"['просить', 'обустраивать', 'пешеходный', 'дорожка', 'отремонтировать', 'детский', 'площадка']",Необходимость дороги/тротуара
улица П.В.Дементьева,7 корп. 1,2021-06-09 13:31:19.533,"сбербанк, ТЦ",12336,"['сбербанк', 'тц']",Общее благоустройство
проспект Геннадия Айги,15,2021-06-17 11:54:32.204,"Спортивные, баскетбольные площадки.",12337,"['спортивный', 'баскетбольный', 'площадка']",Общее благоустройство
улица Солнечная,7,2021-06-12 09:21:28.658,"Пусть возобновлять маршрутку 331 и 101 скорой не могут попасть на работу с утра, нужны автобусы",12338,"['пусть', 'возобновлять', 'маршрутка', '331', '101', 'скорый', 'мочь', 'попадать', 'работа', 'утро', 'нужный', 'автобус']",Необходимость дороги/тротуара
бульвар Юго-Западный,8,2021-06-07 13:29:07.694,Хотелось бы усовершенств.детскую площадку и убрать сгнившие доски,12339,"['хотеться', 'усовершенство', 'детский', 'площадка', 'убирать', 'сгнивать', 'доска']",Общее благоустройство
улица Советская,77,2021-06-08 22:54:57.535,Благоустройство детской площадки,12340,"['благоустройство', 'детский', 'площадка']",Общее благоустройство
улица Кукшумская,5,2021-06-11 19:42:25.005,"Улучшить тротуар от остановки ""Ботанический сад"". Освещение улицы",12341,"['улучшать', 'тротуар', 'остановка', ' ""', 'ботанический', 'сад', '""', 'освещение', 'улица']",Общее благоустройство
улица Мате Залка,12 корп. 3,2021-06-14 18:03:25.675,Хочу чтобы детскую площадку улучшили,12342,"['хотеть', 'детский', 'площадка', 'улучшать']",Общее благоустройство
