"id","text_appeal","adress","home","text_appeal_lem","type","lat","lng","created_at","updated_at"
"10707","Сделать парковку","бульвар Зеленый","4","""['сделать', 'парковка']""","Parking",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10708","Сделать детскую площадку, оградить ее от дороги, заменить на ней песок, доделать дорогу","проспект Тракторостроителей","71","""['сделать', 'детский', 'площадка', 'ограждать', 'дорога', 'заменять', 'песок', 'доделывать', 'дорога']""","General improvement","56.106075","47.317754","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10709","Ремонт дорог","улица 1-ая Привосточная","92Б","""['ремонт', 'дорогой']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10710","нужен короб для спорт игр и детская площадка","улица Хевешская","7","""['нужный', 'короб', 'спорт', 'игра', 'детский', 'площадка']""","Playground","56.104862","47.267752","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10711","Заменить лифты","улица Николая Гастелло","9","""['заменять', 'лифт']""","Major overhaul","56.107765","47.315256","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10712","Бордюры нужны","улица Терешковой","8","""['бордюр', 'нужный']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10713","ремонт дороги и тротуаров в нашем микрарайоне","улица Строителей","6","""['ремонт', 'дорога', 'тротуар', 'наш', 'микрарайон']""","Need for a road","56.112476","47.243356","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10714","Создать дополнительные парковочные места. 
Разбить клумбы.","улица Хузангая","25","""['создавать', 'дополнительный', 'парковочный', 'место', ' \\n', 'разбивать', 'клумба']""","General improvement","56.091386","47.277422","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10715","чистый двор","улица Короленко","6","""['чистый', 'двор']""","Need for a road","56.130765","47.227343","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10716","уменьшить цены на продукты первой необходимости","проспект Мира","23А","""['уменьшать', 'цена', 'продукт', 'первый', 'необходимость']""","Major overhaul","56.107604","47.267046","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10717","-","улица Коммунистическая","24","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:22","2021-10-30 11:06:22"
"10718","С крыши на козырьки перед подъездом капает и брызгается на стены, сделать водоотводы, а зимой сосульки падают и разбивают окна.","улица Энтузиастов","13","""['крыша', 'козырек', 'подъезд', 'капать', 'брызгаться', 'стена', 'сделать', 'водоотвод', 'зима', 'сосулька', 'падать', 'разбивать', 'окно']""","General improvement","56.125081","47.196030","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10719","Установить видеонаблюдение перед подъездом в доме ","улица Университетская","8","""['устанавливать', 'видеонаблюдение', 'подъезд', 'дом']""","General improvement","56.146614","47.167537","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10720","Парковки, дороги, детская площадка. ","улица Эльгера","17","""['парковка', 'дорога', 'детский', 'площадка']""","Parking","56.147112","47.177602","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10721","Бордюры нужны","улица Терешковой","8","""['бордюр', 'нужный']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10722","требуется ремонт внутриквартирного проезда от дома 20 до 23 по ул.Чапаева вдоль 48.
ладушка требуется ремонт тротуара дома 15, до дома 23 энгельса","улица Чапаева","24","""['требоваться', 'ремонт', 'внутриквартирный', 'проезд', 'дом', '20', '23', 'ул', 'чапаев', 'вдоль', '48', 'ладушка', 'требоваться', 'ремонт', 'тротуар', 'дом', '15', 'дом', '23', 'энгельс']""","General improvement","56.120731","47.264909","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10723","
капит.ремонт  в подъезде","улица Константина Иванова","85","""['капеть', 'ремонт', 'подъезд']""","Major overhaul","56.147709","47.228414","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10724","Добавить больше скамеек для отдыха. Усилить работу по созданию комфортной среды.","улица Винокурова","84","""['добавлять', 'скамейка', 'отдых', 'усиливать', 'работа', 'создание', 'комфортный', 'среда']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10725","Капитальный ремонт в подъезде №4","улица Советская","75","""['капитальный', 'ремонт', 'подъезд', '№', '4']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10726","Проложить асфальт на тротуар от Цивильской до Универбазы","улица Космонавта Николаева А.Г.","22","""['пролагать', 'асфальт', 'тротуар', 'цивильский', 'универбаза']""","General improvement","56.122756","47.276548","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10727","Сделать освещение возле дома.Отремонтировать тротуар.","улица Магницкого","2 корп. 1","""['сделать', 'освещение', 'возле', 'дом', 'отремонтировать', 'тротуар']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10728","Бордюры не поменяли возле дома. Старые кустарники убрать, посадить новые. Нет места для выгула собак. ","улица Винокурова","71","""['бордюр', 'поменять', 'возле', 'дом', 'старый', 'кустарник', 'убирать', 'посадить', 'новый', 'место', 'выгул', 'собака']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10729","Пересмотреть маршрут №52 о возможности поездки в Чандрово","улица Афанасьева","12","""['пересматривать', 'маршрут', '№', '52', 'возможность', 'поездка', 'чандрово']""","Need for a road","56.150262","47.219994","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10730","В ЮЗР детские площадки некоторые в ужасном состоянии, дороги тоже","бульвар А.Миттова","39","""['юзра', 'детский', 'площадка', 'некоторые', 'ужасный', 'состояние', 'дорога']""","General improvement","56.110305","47.187851","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10731","Ремонт дорог по  ул. Водопроводная.
Ремонт дороги по ул.К.Иванова (вдоль биржи труда).","улица Водопроводная","22","""['ремонт', 'дорога', 'ул', 'водопроводный', 'ремонт', 'дорога', 'ул', 'иванов', ' (', 'вдоль', 'биржа', 'труд', ')']""","Need for a road","56.147356","47.233247","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10732","Строительство средней школы в мкр. Благовещенский.","улица Базарная","5","""['строительство', 'средний', 'школа', 'мкр', 'благовещенский']""","General improvement","56.134728","47.255885","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10733","Нужна автостоянка. ","улица Университетская","28","""['нужный', 'автостоянка']""","General improvement","56.139511","47.162790","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10734","Прошу установить мусорки на детских площадках","бульвар Эгерский","59","""['просить', 'устанавливать', 'мусорка', 'детский', 'площадка']""","General improvement","56.092213","47.286212","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10735","построить школу","улица П.В.Дементьева","18 корп. 3","""['построить', 'школа']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10736","сделать ремонт в школе 33
и построить детскую площадку","проспект Мира","33","""['сделать', 'ремонт', 'школа', '33', 'построить', 'детский', 'площадка']""","Playground","56.105871","47.264483","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10737","Отремонтировать дороги по ул.Чернышевского,д.36","улица Чернышевского","36","""['отремонтировать', 'дорога', 'ул', 'чернышевский', 'д', '36']""","Need for a road","56.121359","47.176999","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10738","Благоустроить дорогу вдоль Министерство Экологии.","проспект Мира","88Б","""['благоустраивать', 'дорога', 'вдоль', 'министерство', 'экология']""","General improvement","56.110518","47.263584","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10739","Нужны детские снаряды для детей и качели","улица Советская","77","""['нужный', 'детский', 'снаряд', 'ребенок', 'качели']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10740","Просим вас оказать содействие с оформлением земельных участков под своими жилыми домами и придомовой территории.","улица Родниковая","1","""['просить', 'оказывать', 'содействие', 'оформление', 'земельный', 'участок', 'свой', 'жилой', 'дом', 'придомовый', 'территория']""","Need for a road","56.199917","47.194012","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10741","-","улица 2-я Путепроводная","163","""[]""",NULL,NULL,NULL,"2021-10-30 11:06:22","2021-10-30 11:06:22"
"10742","Прошу поспособствовать в продвижении капремонта нашего дома. В доме старые трубы и нет домофона","проспект Тракторостроителей","5","""['просить', 'поспособствовать', 'продвижение', 'капремонт', 'наш', 'дом', 'дом', 'старый', 'труба', 'домофон']""","Need for a road","56.099599","47.285743","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10743","Нет бордюров","улица Терешковой","8","""['бордюр']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10744","Ремонт в подъезде","улица Винокурова","115","""['ремонт', 'подъезд']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10745","рядом с домом нужна спорт.площадка","улица П.В.Дементьева","18 корп. 3","""['рядом', 'дом', 'нужный', 'спорт', 'площадка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10746","Ремонт в подъезде, трубы, стояки","улица Воинов интернационалистов","7","""['ремонт', 'подъезд', 'труба', 'стояк']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10747","Благоустройство территории дома. детской площадки не хватает","улица Кукшумская","7","""['благоустройство', 'территория', 'дом', 'детский', 'площадка', 'хватать']""","General improvement","56.088310","47.274071","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10748","Прошу беседку и стол во двор. Вернуть сбережения сгоревшие в 90 года. ","улица Лебедева","19","""['просить', 'беседка', 'стол', 'двор', 'вернуть', 'сбережение', 'сгорать', '90', 'год']""","General improvement","56.144756","47.163469","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10749","Капитальный ремонт
Дезинфекция от тараканов
Уменьшение тарифов ЖКХ","бульвар Эгерский","30","""['капитальный', 'ремонт', 'дезинфекция', 'таракан', 'уменьшение', 'тариф', 'жкх']""","General improvement","56.099891","47.283931","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10750","Благоустроить территорию возле подъездов по ул. Хузангая д.29","улица Хузангая","29","""['благоустраивать', 'территория', 'возле', 'подъезд', 'ул', 'хузангай', 'д', '29']""","General improvement","56.089951","47.278077","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10751","Отремонтировать тротуар. На остановке нужна крыша. Убрать гаражи и сараи.","улица Богдана Хмельницкого","10 корп. 1","""['отремонтировать', 'тротуар', 'остановка', 'нужный', 'крыша', 'убирать', 'гараж', 'сарай']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10752","Отремонтировать тротуар по ул. Суворова, остановка с крышей нужна на Суворова и убрать старые гаражи и туалет возле дома.","улица Богдана Хмельницкого","10 корп. 1","""['отремонтировать', 'тротуар', 'ул', 'суворов', 'остановка', 'крыша', 'нужный', 'суворов', 'убирать', 'старый', 'гараж', 'туалет', 'возле', 'дом']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10753","Крыша течет, все залито в квартире. Подъезд ремонт нужен капитальный. Балкон течет","улица Первомайская","49","""['крыша', 'течь', 'заливать', 'квартира', 'подъезд', 'ремонт', 'нужный', 'капитальный', 'балкон', 'течь']""","General improvement","56.103732","47.179771","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10754","Место для выгула собак","бульвар Зеленый","3а корп. 1","""['место', 'выгул', 'собака']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10755","Низкая зарплата
Высокие цена на продукты и лекарства","улица 50 лет Октября","14","""['низкий', 'зарплата', 'высокий', 'цена', 'продукт', 'лекарство']""","General improvement","56.128889","47.276906","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10756","Ремонт придомовой территории около дома №10 по улице Коммунистическая","улица Коммунистическая","10","""['ремонт', 'придомовый', 'территория', 'около', 'дом', '№', '10', 'улица', 'коммунистический']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10757","дет площадку, фонари на аллее","улица Композитора Максимова","2","""['дет', 'площадка', 'фонарь', 'аллея']""","General improvement","56.124438","47.197198","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10758","Детская площадка.
Фонари на аллее.

","улица Композитора Максимова","2","""['детский', 'площадка', 'фонарь', 'аллея']""","Playground","56.124438","47.197198","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10759","течет крыша, пенсии не хватает, ЖКХ-дорого, (хотим получать квартплату газ свет одной квитанцией)","улица Грасиса","11","""['течь', 'крыша', 'пенсия', 'хватать', 'жкх', '-', 'дорого', ', (', 'хотеть', 'получать', 'квартплата', 'газ', 'свет', 'квитанция']""","General improvement","56.126414","47.194536","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10760","Благоустроить двор и детскую площадку. Облагородить песочницу","улица Ярмарочная","7","""['благоустраивать', 'двор', 'детский', 'площадка', 'облагораживать', 'песочница']""","General improvement","56.130730","47.264958","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10761","Парковка
Косметический ремонт дома
Игровую площадку обновить","улица Космонавта Николаева А.Г.","35","""['парковка', 'косметический', 'ремонт', 'дома', 'игровой', 'площадка', 'обновлять']""","Need for a road","56.124534","47.276185","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10762","Срочно отремонтировать разбитую дорогу ","бульвар Зеленый","4","""['срочно', 'отремонтировать', 'разбитый', 'дорога']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10763","Отсутствует детская горка во дворе. Отсутствует нормальное асфальтовое покрытие во дворе по адресу ул. Университетская 7","улица Университетская","7","""['отсутствовать', 'детский', 'горка', 'двор', 'отсутствовать', 'нормальный', 'асфальтовый', 'покрытие', 'двор', 'адрес', 'ул', 'университетский', '7']""","General improvement","56.146191","47.171778","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10764","Ремонт тротуара
Ремонт крыльца
Парковка
Спортивная тренажерная площадка","улица Гагарина Ю.","30","""['ремонт', 'тротуар', 'ремонт', 'крыльцо', 'парковка', 'спортивный', 'тренажерный', 'площадка']""","General improvement","56.126445","47.270251","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10765","Тренажеры, облагородить двор","улица Композитора Максимова","9","""['тренажер', 'облагораживать', 'двор']""","Need for a road","56.122196","47.195120","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10766","Ремонт дороги во дворе дома. Высокие деревья загромождают окна, не пропускают свет в квартиру. ","улица Эльгера","17","""['ремонт', 'дорога', 'двор', 'дом', 'высокий', 'дерево', 'загромождать', 'окно', 'пропускать', 'свет', 'квартира']""","Need for a road","56.147112","47.177602","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10767","Ремонт тротуара возле подъездов. ремонт дорог возле дома","улица Шумилова","13","""['ремонт', 'тротуар', 'возле', 'подъезд', 'ремонт', 'дорога', 'возле', 'дом']""","Major overhaul","56.102866","47.278742","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10768","Бассейн очень нужен!!! Школа очень нужна!!! Транспорт 101 зачем убрали, очень нужен до Новочебоксарска. ","улица Лукина","3","""['бассейн', 'очень', 'нужный', '!!! ', 'школа', 'очень', 'нужный', '!!! ', 'транспорт', '101', 'убирать', 'очень', 'нужный', 'новочебоксарск']""","General improvement","56.133038","47.152485","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10769","Отремонтировать дорогу возле дома","улица Советская","12","""['отремонтировать', 'дорога', 'возле', 'дом']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10770","Внимательно относится к жалобам жильцов по пр. М. Горького 15 УК ""Прогресс""","проспект Максима Горького","15","""['внимательно', 'относиться', 'жалоба', 'жилец', 'пр', 'м', 'горький', '15', 'ук', ' \""', 'прогресс']""","General improvement","56.147830","47.188478","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10771","Собак много","улица Коммунистическая","26","""['собака']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10772","Детская площадка
Замена окон","улица Космонавта Николаева А.Г.","40","""['детский', 'площадка', 'замена', 'окно']""","Playground","56.128922","47.282115","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10773","Ремонт дороги, фасад дома, благоустройство ","бульвар Зеленый","17","""['ремонт', 'дорога', 'фасад', 'дом', 'благоустройство']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10774","Увеличить освещение. Построить игровую площадку.","улица Ленинского Комсомола","76","""['увеличивать', 'освещение', 'построить', 'игровой', 'площадка']""","General improvement","56.109059","47.315934","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10775","повысить пенсию, сделать дорогу","улица Харьковская","2","""['повышать', 'пенсия', 'сделать', 'дорога']""","General improvement","56.130911","47.248015","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10776","Пустить троллейбусный маршрут","улица Чернышевского","29 корп. 1","""['пускать', 'троллейбусный', 'маршрут']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10777","Ремонтировать дороги во дворе","улица Гражданская","62/1","""['ремонтировать', 'дорога', 'двор']""","Need for a road","56.118904","47.194223","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10778","Детскую площадку, ремонт подъезда, ремонт крыши.","улица Хузангая","38","""['детский', 'площадка', 'ремонт', 'подъезд', 'ремонт', 'крыша']""","Major overhaul","56.088496","47.277017","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10779","установить новую детскую площадку.","улица Чапаева","4","""['устанавливать', 'новый', 'детский', 'площадка']""","General improvement","56.129932","47.256739","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10780","Зона отдыха","улица Шумилова","17","""['зона', 'отдых']""","Major overhaul","56.103667","47.283025","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10781","Дороги, нет тротуара, ландшафта нет с противоположной стороны, нет парковки","улица Советская","50А","""['дорога', 'тротуар', 'ландшафт', 'противоположный', 'сторона', 'парковка']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10782","Ремонт дома","бульвар Юности","21","""['ремонт', 'дома']""","Major overhaul","56.138933","47.158965","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10783","Необходим капремонт инженерных сетей.","улица Т.Кривова","18","""['необходимый', 'капремонт', 'инженерный', 'сеть']""","Major overhaul",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10784","просьба к депутатам обоглаустроить во дворе дома 6 .Привокзальная детскую площадку и поменять скамейки около подьездов они уже усорело","улица Привокзальная","6","""['просьба', 'депутат', 'обоглаустраивать', 'двор', 'дом', '6', 'привокзальный', 'детский', 'площадка', 'поменять', 'скамейка', 'около', 'подьезд', 'усореть']""","Need for a road","56.114279","47.263547","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10785","Покрытие детской площадки","бульвар Зеленый","11","""['покрытие', 'детский', 'площадка']""","Playground",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10786","парк, 
спорт площадка","улица П.В.Дементьева","19","""['парк', ', \\n', 'спорт', 'площадка']""","Playground","56.115690","47.217077","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10787","дорогу вдоль гаражей
","улица Короленко","16","""['дорога', 'вдоль', 'гараж']""","Need for a road","56.127822","47.225550","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10788","Мешают бездомные собаки,всю ночь лают, закрыть кафе по ул.Терешкова 6а","улица Молодежная","7","""['мешать', 'бездомный', 'собака', 'весь', 'ночь', 'лаять', 'закрывать', 'кафе', 'ул', 'терешкова', '6а']""","General improvement","56.122730","47.378021","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10789","Построить детскую площадку с тренажерами","проспект Тракторостроителей","39","""['построить', 'детский', 'площадка', 'тренажер']""","General improvement","56.102363","47.304937","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10790","Хмаркет мешает проезду пожарных машин, завышенные цены на отопление, построить новую детскую площадку","проспект Тракторостроителей","39","""['хмаркет', 'мешать', 'проезд', 'пожарный', 'машина', 'завышать', 'цена', 'отопление', 'построить', 'новый', 'детский', 'площадка']""","General improvement","56.102363","47.304937","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10791","Построить детскую площадку, снизить цену на отопление, снести Хмаркет из соображений пожарной безопасности","проспект Тракторостроителей","39","""['построить', 'детский', 'площадка', 'снижать', 'цена', 'отопление', 'снести', 'хмаркет', 'соображение', 'пожарный', 'безопасность']""","General improvement","56.102363","47.304937","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10792","Современная детская площадка, утеплить торцевые стены(стены в квартире покрыты плесенью)","проспект Тракторостроителей","39","""['современный', 'детский', 'площадка', 'утеплять', 'торцевой', 'стена', '(', 'стена', 'квартира', 'покрывать', 'плесень']""","General improvement","56.102363","47.304937","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10793","Благоустройство дет. площадки, замена качелей на безопасные, в Дорисс парке на трибуне установите ограждение
Ремонт тротуаров","проспект И.Я.Яковлева","8 корп. 1","""['благоустройство', 'дет', 'площадка', 'замена', 'качели', 'безопасный', 'дорисса', 'парк', 'трибуна', 'устанавливать', 'ограждение', 'ремонт', 'тротуар']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10794","Тротуар! К конной школе ходят дети, после дождя дорога затопленная.","улица Советская","50А","""['тротуар', '! ', 'конный', 'школа', 'ходить', 'ребенок', 'дождь', 'дорога', 'затоплять']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10795","Хотелось бы, чтобы была обустроена детская площадка","улица Мате Залка","13","""['хотеться', 'обустраивать', 'детский', 'площадка']""","General improvement","56.118763","47.180709","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10796","Просим сделать хорошую дорогу","бульвар Эгерский","41","""['просить', 'сделать', 'хороший', 'дорога']""","Need for a road","56.094179","47.284998","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10797","Возле дома не отремонтирована та часть, которая прилегает прямо к дому, после тротуарной дорожки. Возле подвала все разрушено - необходимо отремонтировать. ","улица Винокурова","61","""['возле', 'дом', 'отремонтировать', 'часть', 'который', 'прилегать', 'прямо', 'дом', 'тротуарный', 'дорожка', 'возле', 'подвал', 'разрушать', ' - ', 'необходимо', 'отремонтировать']""","Need for a road",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10798","Сделать дорогу по ул. Ярмарочная от ТД ""Скала""","улица Ярмарочная","17","""['сделать', 'дорога', 'ул', 'ярмарочный', 'ТД', ' \""', 'скала']""","General improvement","56.132592","47.263499","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10799","Улучшить детскую площадку во дворе 64 дома по ул. 10 Пятилетки","улица 10 Пятилетки","64","""['улучшать', 'детский', 'площадка', 'двор', '64', 'дом', 'ул', '10', 'пятилетка']""","Playground",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10800","Сделать детские площадки.
Обновить школьный стадион(СОШ 22)","улица Кукшумская","17","""['сделать', 'детский', 'площадка', 'обновлять', 'школьный', 'стадион', '(', 'сош', '22']""","Playground","56.089473","47.279927","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10801","Хотелось бы, чтобы улучшили двор (детскую площадку, парковку) и т.д.","улица Ленинского Комсомола","20 ","""['хотеться', 'улучшать', 'двор', ' (', 'детский', 'площадка', 'парковка', ') ', 'т', 'д']""","General improvement","56.103449","47.275909","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10802","Благоустройство территории
Детская площадка","улица Космонавта Николаева А.Г.","46 корп. 1","""['благоустройство', 'территория', 'детский', 'площадка']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10803","детская площадка, дорожки , скамейки ","улица Энгельса","3 корп. 2","""['детский', 'площадка', 'дорожка', ' , ', 'скамейка']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10804","Пустой","улица Советская","75","""['пустой']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10805","Просим открыть новый маршрут, соединяющий п. Н. Лапсары с СЗР.","улица Совхозная (п Лапсары)","23","""['просить', 'открывать', 'новый', 'маршрут', 'соединять', 'п', 'н', 'лапсар', 'СЗР']""","General improvement",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10806","-","улица 50 лет Октября","17","""[]""",NULL,"56.126532","47.276722","2021-10-30 11:06:22","2021-10-30 13:15:44"
"10807","Контроль повышения цен на продукты первой необходимости
Снижение тарифов ЖКХ
","улица 50 лет Октября","16","""['контроль', 'повышение', 'цена', 'продукт', 'первый', 'необходимость', 'снижение', 'тариф', 'жкх']""","General improvement","56.127709","47.277231","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10808","Сделать дорогу во дворе","проспект Мира","18","""['сделать', 'дорога', 'двор']""","Need for a road","56.128121","47.284856","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10809","Детская площадка во дворе
Просьба привезти землю для оформления клумбы","улица Ленинского Комсомола","40","""['детский', 'площадка', 'двор', 'просьба', 'привозить', 'земля', 'оформление', 'клумба']""","General improvement","56.107103","47.284365","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10810","Парковка, разлиновка парковочных мест","улица Строителей","5 корп. 1","""['парковка', 'разлиновка', 'парковочный', 'место']""","Parking",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10811","Детская площадка во дворе","улица Ленинского Комсомола","36","""['детский', 'площадка', 'двор']""","Playground","56.106100","47.281723","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10812","Детская площадка во дворе
Старую скамейку и стол убрать","улица Ленинского Комсомола","36","""['детский', 'площадка', 'двор', 'старый', 'скамейка', 'стол', 'убирать']""","Playground","56.106100","47.281723","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10813","Детская площадка во дворе
Старую скамейку и стол убрать","улица Ленинского Комсомола","36","""['детский', 'площадка', 'двор', 'старый', 'скамейка', 'стол', 'убирать']""","Playground","56.106100","47.281723","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10814","Детские площадки, дополнительные кружки","улица Комсомольская","22","""['детский', 'площадка', 'дополнительный', 'кружка']""","Playground","56.069098","47.222927","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10815","Сделать детскую площадку во дворе дома, увеличить парковку","улица Кирова","14","""['сделать', 'детский', 'площадка', 'двор', 'дом', 'увеличивать', 'парковка']""","General improvement","56.111768","47.164473","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10816","заменить трубы в доме","улица Дзержинского","20","""['заменять', 'труба', 'дом']""","Major overhaul","56.142104","47.248635","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10817","Облагородить Обиковскую рощу.Сделать дорогу.","улица Пржевальского","4","""['облагораживать', 'обиковский', 'роща', 'сделать', 'дорога']""","General improvement","56.079706","47.277051","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10818","Благоустройство детских площадок","улица Калинина","91","""['благоустройство', 'детский', 'площадка']""","General improvement","56.140433","47.267565","2021-10-30 11:06:22","2021-10-30 20:44:26"
"10819","Парковка","улица 50 лет Октября","13 корп. 1","""['парковка']""","Parking",NULL,NULL,"2021-10-30 11:06:22","2021-10-30 20:44:26"
"10820","Ремонт дороги по улице Токмакова. Обновить канализацию.","улица Токмакова","29","""['ремонт', 'дорога', 'улица', 'токмаков', 'обновлять', 'канализация']""","General improvement","56.074678","47.300089","2021-10-30 11:06:22","2021-10-30 20:44:26"
